id,name
1,Costa Coffee
2,Greggs
3,Subway
4,McDonald's
5,KFC
6,Greene King
7,Wetherspoon
8,Caffé Nero
9,Burger King
10,Pizza Hut
11,Pret A Manger
12,PizzaExpress
13,Hungry Horse
14,Lounges
15,Sushi Daily
16,Five Guys
17,Chef & Brewer Collection
18,Gail's
19,Zizzi
20,Taco Bell
21,Creams
22,Coffee#1
23,Prezzo
24,Morley's
25,Favorite
26,Chaiiwala
27,Cote
28,Panku
29,Itsu
30,Kaspa's Desserts
31,Fridays
32,Poundbakery
33,Kokoro
34,Bella Italia
35,Chopstix
36,JOE & THE JUICE
37,Tortilla
38,Franco Manca
39,Tops Pizza
40,Ask Italian
41,Farmhouse Inns
42,Wimpy
43,Muffin Break
44,Black Sheep Coffee
45,Turtle Bay
46,Giggling Squid
47,Heavenly Desserts
48,Sam's Chicken
49,Tim Hortons
50,Wildwood
51,Las Iguanas
52,Parsons Bakery
53,Wasabi
54,Chicken Cottage
55,Pho
56,Revolution
57,Brunning & Price
58,Gourmet Burger Kitchen (GBK)
59,Honest Burgers
60,Selekt Chicken
61,Auntie Anne's
62,Coco Di Mama
63,Bakers + Baristas
64,Thomas The Baker
65,Farmhouse Pizza
66,Ole & Steen
67,Coughlans
68,Dixy Chicken
69,Patisserie Valerie
70,Carluccio's
71,Chicken Valley
72,Rio's Piri Piri
73,The Botanist
74,Chesters
75,Galloways
76,Browns Restaurant
77,fishnchickn
78,Herbies Pizza
79,Pizza 2 Night
80,Mother Hubbard's
81,Chicken World
82,Dicksons
83,Comptoir Libanais
84,Amigos
85,The Coffee House
86,Super Pizza
87,Freddy's
88,Piccolino
89,Cheatmeals
90,Peri Peri Original
91,Mr. Pretzels
92,Staniforths
93,Kebabish Original
94,Mr. Cod
95,Dolci
96,Batch'd
97,Big John's
98,Bistrot Pierre
99,Treatz
100,Shakehouse
101,Bewiched
102,Chatime
103,Island Poke
104,Tuk Tuk Pan Asian & Rayu Pan Asian
105,Caspian Pizza
106,Brasserie Blanc
107,Shake Shack
108,TGF Pizza
109,Paya
110,Gusto Italian
111,Insomnia
112,Karak Chaii
113,Revolucion de Cuba
114,Hillier
115,Flat Iron
116,Friary Mill Bakery
117,Oggy Oggy Pasty
118,Cakes & Bakes
119,Deep Blue
120,Spice Hut
121,Chicken Land
122,Ji
123,Burger and Sauce
124,Icestone Desserts
125,Elite Pubs
126,Toro's Steakhouse
127,Wahaca
128,Chunky Chicken
129,Baskin Robbins
130,Marugame Udon
131,Chocoberry
132,Giraffe
133,Béres
134,Philpotts
135,Hadfields
136,Poke House
137,Rockfish
138,Busaba Eathai
139,Hubbox
140,Dhesi Sweet Centre
141,Yard Sale Pizza
142,Enish Nigerian Restaurant
143,Dallas Chicken
144,Frontier Pubs
145,Urban Chocolatier
146,MakHalal
147,Frankster's
148,Sambuca
149,Bone Daddies
150,Wraps & Wings
151,Patty & Bun
152,Taste of Lahore
153,Sbarro
154,Buns from Home
155,Jollibee
156,Burger & Lobster
157,Smacks Hamburgers
158,Poké Shack
159,Garbanzos
160,Go Falafel
161,Holy Cow
162,Raja's
163,Sprinkles Gelato
164,The Cornish Oven
165,Perfect Chicken
166,Afrikana
167,Slap & Pickle
168,Grounds
169,Shoryu
170,Chaaye Paani
171,Sushimania
172,The Stable
173,Zambrero
174,Slamburger
175,Harlees
176,Sundaes Gelato
177,Piri Fino
178,Janes Pantry
179,Superfish
180,Chilli Flames
181,Chennai Dosa
182,Chickano's
183,Atariya Foods
184,Cornish Bakehouse
185,Coffee Republic
186,Afters Original
187,Ed's Easy Diner
188,Chozen Noodle
189,Rustico
190,Dishoom
191,Snowflake
192,The Cake Solution
193,Chicken Hub
194,Middletons
195,Chow Asian Kitchen
196,DZRT
197,Flour & Bean
198,Chickaros
199,Tom Bell
200,Taka Taka
