id,name
1,Vegan
2,Vegetarian
3,Pescatarian
4,Paleo
5,Ovo Vegetarian
6,Lacto Vegetarian
7,Fruitarian
8,Ketogenic
9,Gluten-Free
10,Dairy-Free
11,Egg-Free
12,Soy-Free
13,Grain-Free
14,Sugar-Free
15,Wheat-Free
16,Nut-Free
17,Carnivore
18,Alkaline
19,Pollotarian
20,Shellfish-Free
21,Red Meat-Free
22,Beef-Free
23,Pork- & Shellfish-Free
24,Fish-Free
25,Low-FODMAP
26,Anti Inflammatory Based
27,Lower Carb
28,Lower Glycemic Index
29,Lower Oxalate
30,Lower Histamine
31,Lower Lectin
32,Lower Salicylate
33,Lower Fructose
34,Lower Tyramine
35,Lower Saturated Fat
36,Lower Sulfur
37,Mustard-Free
38,Sesame-Free
39,Celery-Free
40,Atkins
41,Peanut-Free
42,Non-Spicy Diet
